0	gonad	n0
1	ailL	n1
2	ailR	n2
3	vBWMR19	n3
4	vBWML17	n4
5	dBWML24	n5
6	vBWMR24	n6
7	vBWML20	n7
8	vspR	n8
9	dglL6	n9
10	vBWML19	n10
11	dspR	n11
12	dglR7	n12
13	vBWML23	n13
14	dBWMR24	n14
15	grtL	n15
16	dglL7	n16
17	pobR	n17
18	vBWMR20	n18
19	vsrR	n19
20	dsrR	n20
21	pilL	n21
22	dglL4	n22
23	grtR	n23
24	dsrL	n24
25	pilR	n25
26	polL	n26
27	dglR4	n27
28	dspL	n28
29	vsrL	n29
30	dglR8	n30
31	dglR2	n31
32	dglL2	n32
33	dglR3	n33
34	dglL1	n34
35	gecL	n35
36	vBWML21	n36
37	aobL	n37
38	dglL5	n38
39	pobL	n39
40	dBWMR22	n40
41	dglR6	n41
42	vspL	n42
43	vBWML22	n43
44	vBWML21	n44
45	vBWML19	n45
46	cdlR	n46
47	vBWMR19	n47
48	cdlL	n48
49	dglR1	n49
50	sph	n50
51	vBWMR21	n51
52	sph	n52
53	dglR2	n53
54	vBWMR24	n54
55	vBWML20	n55
56	vBWMR22	n56
57	intL	n57
58	adp	n58
59	vBWML17	n59
60	vBWMR18	n60
61	dglR5	n61
62	dglR3	n62
63	dBWMR23	n63
64	dBWML21	n64
65	vBWMR21	n65
66	dBWMR23	n66
67	aobR	n67
68	vBWML22	n68
69	vBWML23	n69
70	dBWML23	n70
71	dBWML22	n71
72	intL	n72
73	dBWML23	n73
74	intR	n74
75	vBWMR23	n75
76	vBWMR20	n76
77	dglL3	n77
78	dglR4	n78
79	vBWMR22	n79
80	dBWMR21	n80
81	vBWMR23	n81
82	gecR	n82
83	dglR1	n83
84	polR	n84
85	dBWML22	n85
86	dBWMR22	n86
87	dBWML24	n87
88	dBWMR24	n88
89	EF2	n89
90	PDB	n90
91	PVZ	n91
92	AVG	n92
93	EF1	n93
94	PVV	n94
95	VA11	n95
96	PVCR	n96
97	PVCL	n97
98	PVQL	n98
99	AVKR	n99
100	AN1b	n100
101	CA06	n101
102	AVKL	n102
103	PVX	n103
104	DVA	n104
105	VB09	n105
106	AN1a	n106
107	CA04	n107
108	VB10	n108
109	DVE	n109
110	AVAL	n110
111	PVS	n111
112	VA12	n112
113	VB06	n113
114	PVY	n114
115	AVDR	n115
116	AVAR	n116
117	CA05	n117
118	PVU	n118
119	AVDL	n119
120	SPDL	n120
121	VA10	n121
122	VB08	n122
123	PDEL	n123
124	DVF	n124
125	R1BR	n125
126	VB11	n126
127	PVNL	n127
128	HOA	n128
129	SPVL	n129
130	AVBL	n130
131	AS11	n131
132	HOB	n132
133	CA09	n133
134	SPVR	n134
135	PVQR	n135
136	PQR	n136
137	PVWL	n137
138	PVWR	n138
139	PDER	n139
140	CP07	n140
141	R7BR	n141
142	AN3b	n142
143	PDC	n143
144	SPDR	n144
145	LUAL	n145
146	EF3	n146
147	R9BL	n147
148	VB07	n148
149	AVBR	n149
150	PCAL	n150
151	LUAR	n151
152	DA09	n152
153	AN3a	n153
154	AN2b	n154
155	PCBL	n155
156	CP08	n156
157	CP04	n157
158	PVDL	n158
159	CP03	n159
160	AN2a	n160
161	DB06	n161
162	SPCL	n162
163	DB05	n163
164	PVX	n164
165	CP09	n165
166	DVC	n166
167	PVQR	n167
168	PVNL	n168
169	CP02	n169
170	PCAR	n170
171	AVL	n171
172	R9AR	n172
173	DD06	n173
174	VA09	n174
175	DA07	n175
176	PCBR	n176
177	SPCR	n177
178	PCCL	n178
179	PVM	n179
180	R9AL	n180
181	R9BR	n181
182	CP01	n182
183	R8AL	n183
184	CP05	n184
185	PHAR	n185
186	DX3	n186
187	PHAL	n187
188	DB04	n188
189	R8AR	n189
190	CA07	n190
191	R6BR	n191
192	PCCR	n192
193	R3BR	n193
194	PHCR	n194
195	PHBL	n195
196	PVDR	n196
197	R7BL	n197
198	PHCL	n198
199	PDA	n199
200	PLML	n200
201	DD05	n201
202	CA08	n202
203	DA06	n203
204	PGA	n204
205	PVDR	n205
206	PLMR	n206
207	DB07	n207
208	R7AR	n208
209	R4BR	n209
210	PVT	n210
211	R4AR	n211
212	DB03	n212
213	R1AR	n213
214	R8BR	n214
215	R5BR	n215
216	R8BL	n216
217	CA03	n217
218	DX1	n218
219	R2AL	n219
220	R6AR	n220
221	R3BL	n221
222	VD13	n222
223	DA05	n223
224	R2BL	n224
225	R4AL	n225
226	R3AL	n226
227	R7BL	n227
228	CP06	n228
229	R2AR	n229
230	R6AL	n230
231	R3AR	n231
232	R2BR	n232
233	DA08	n233
234	R4AL	n234
235	R5AR	n235
236	VD10	n236
237	VD12	n237
238	VD11	n238
239	ALNR	n239
240	DX2	n240
241	CA08	n241
242	VB05	n242
243	R7AL	n243
244	PVDL	n244
245	R1AL	n245
246	PLNR	n246
247	VD09	n247
248	R4BL	n248
249	DD04	n249
250	CA02	n250
251	DD03	n251
252	AS10	n252
253	PVV	n253
254	R6BL	n254
255	PLNL	n255
256	PVR	n256
257	R5AL	n257
258	ALNL	n258
259	DVA	n259
260	R5BL	n260
261	DA04	n261
262	VA08	n262
263	PVNR	n263
264	R1BL	n264
265	PVCR	n265
266	AS09	n266
267	AS08	n267
268	PVWL	n268
269	DVB	n269
270	hyp	n270
271	PHBR	n271
